model,threshold,accuracy,auc,f1,precision,recall,sensitivity,specificity,youden_j,tp,fp,tn,fn
BiCA-HS (Transformer),0.7999999999999999,0.5875,0.94984375,0.3125,0.9375,0.1875,0.1875,0.9875,0.17500000000000004,15,1,79,65
BiCA-HS (Transformer),0.85,0.5625,0.94984375,0.2222222222222222,1.0,0.125,0.125,1.0,0.125,10,0,80,70
BiCA-HS (Transformer),0.9,0.53125,0.94984375,0.11764705882352941,1.0,0.0625,0.0625,1.0,0.0625,5,0,80,75
BiCA-HS (Transformer),0.95,0.50625,0.94984375,0.02469135802469136,1.0,0.0125,0.0125,1.0,0.012499999999999956,1,0,80,79
XGBoost (Tabular Only),0.05,0.5,0.878125,0.6666666666666666,0.5,1.0,1.0,0.0,0.0,80,80,0,0
XGBoost (Tabular Only),0.1,0.51875,0.878125,0.6751054852320676,0.5095541401273885,1.0,1.0,0.0375,0.03750000000000009,80,77,3,0
XGBoost (Tabular Only),0.15,0.55625,0.878125,0.6926406926406927,0.5298013245033113,1.0,1.0,0.1125,0.11250000000000004,80,71,9,0
XGBoost (Tabular Only),0.2,0.61875,0.878125,0.7239819004524888,0.5673758865248227,1.0,1.0,0.2375,0.23750000000000004,80,61,19,0
XGBoost (Tabular Only),0.25,0.675,0.878125,0.7547169811320755,0.6060606060606061,1.0,1.0,0.35,0.3500000000000001,80,52,28,0
XGBoost (Tabular Only),0.3,0.725,0.878125,0.78,0.65,0.975,0.975,0.475,0.44999999999999996,78,42,38,2
XGBoost (Tabular Only),0.35,0.75,0.878125,0.7872340425531915,0.6851851851851852,0.925,0.925,0.575,0.5,74,34,46,6
XGBoost (Tabular Only),0.39999999999999997,0.78125,0.878125,0.7999999999999999,0.7368421052631579,0.875,0.875,0.6875,0.5625,70,25,55,10
XGBoost (Tabular Only),0.44999999999999996,0.775,0.878125,0.7721518987341772,0.782051282051282,0.7625,0.7625,0.7875,0.5499999999999998,61,17,63,19
XGBoost (Tabular Only),0.49999999999999994,0.7625,0.878125,0.7432432432432432,0.8088235294117647,0.6875,0.6875,0.8375,0.5249999999999999,55,13,67,25
XGBoost (Tabular Only),0.5499999999999999,0.75,0.878125,0.7142857142857143,0.8333333333333334,0.625,0.625,0.875,0.5,50,10,70,30
XGBoost (Tabular Only),0.6,0.725,0.878125,0.6615384615384615,0.86,0.5375,0.5375,0.9125,0.44999999999999996,43,7,73,37
XGBoost (Tabular Only),0.65,0.7,0.878125,0.6065573770491803,0.8809523809523809,0.4625,0.4625,0.9375,0.3999999999999999,37,5,75,43
XGBoost (Tabular Only),0.7,0.7,0.878125,0.5932203389830509,0.9210526315789473,0.4375,0.4375,0.9625,0.3999999999999999,35,3,77,45
XGBoost (Tabular Only),0.75,0.6875,0.878125,0.5535714285714286,0.96875,0.3875,0.3875,0.9875,0.375,31,1,79,49
XGBoost (Tabular Only),0.7999999999999999,0.65625,0.878125,0.47619047619047616,1.0,0.3125,0.3125,1.0,0.3125,25,0,80,55
XGBoost (Tabular Only),0.85,0.63125,0.878125,0.4158415841584159,1.0,0.2625,0.2625,1.0,0.26249999999999996,21,0,80,59
XGBoost (Tabular Only),0.9,0.60625,0.878125,0.3505154639175258,1.0,0.2125,0.2125,1.0,0.2124999999999999,17,0,80,63
XGBoost (Tabular Only),0.95,0.56875,0.878125,0.2417582417582418,1.0,0.1375,0.1375,1.0,0.13749999999999996,11,0,80,69
