model,fpr,tpr,threshold,auc
XGBoost (Tabular Only),0.0,0.0125,0.999831199645996,0.87015625
XGBoost (Tabular Only),0.0,0.2,0.9995577931404114,0.87015625
XGBoost (Tabular Only),0.0,0.225,0.9995062351226808,0.87015625
XGBoost (Tabular Only),0.0,0.35,0.9989226460456848,0.87015625
XGBoost (Tabular Only),0.0125,0.35,0.9989043474197388,0.87015625
XGBoost (Tabular Only),0.0125,0.4125,0.9983161687850952,0.87015625
XGBoost (Tabular Only),0.025,0.4125,0.9978739023208618,0.87015625
XGBoost (Tabular Only),0.025,0.45,0.9964960217475892,0.87015625
XGBoost (Tabular Only),0.0375,0.45,0.9961556792259216,0.87015625
XGBoost (Tabular Only),0.0375,0.5,0.992926740139916,0.87015625
XGBoost (Tabular Only),0.05,0.5,0.9919821619987488,0.87015625
XGBoost (Tabular Only),0.05,0.525,0.9907662868499756,0.87015625
XGBoost (Tabular Only),0.0625,0.525,0.990594744682312,0.87015625
XGBoost (Tabular Only),0.0625,0.5875,0.9791104500758246,0.87015625
XGBoost (Tabular Only),0.075,0.5875,0.9721463322639464,0.87015625
XGBoost (Tabular Only),0.075,0.6125,0.9680543386198048,0.87015625
XGBoost (Tabular Only),0.0875,0.6125,0.96020358132193,0.87015625
XGBoost (Tabular Only),0.0875,0.625,0.9561123074062408,0.87015625
XGBoost (Tabular Only),0.1,0.625,0.9507518410682678,0.87015625
XGBoost (Tabular Only),0.1,0.65,0.9344463037268668,0.87015625
XGBoost (Tabular Only),0.125,0.65,0.8626416186491648,0.87015625
XGBoost (Tabular Only),0.125,0.6625,0.8610460758209229,0.87015625
XGBoost (Tabular Only),0.1375,0.6625,0.8606722950935364,0.87015625
XGBoost (Tabular Only),0.1375,0.6875,0.8405959942344419,0.87015625
XGBoost (Tabular Only),0.175,0.6875,0.740785539150238,0.87015625
XGBoost (Tabular Only),0.175,0.725,0.7202782208240159,0.87015625
XGBoost (Tabular Only),0.1875,0.725,0.691492722363722,0.87015625
XGBoost (Tabular Only),0.1875,0.8,0.5996587872505188,0.87015625
XGBoost (Tabular Only),0.25,0.8,0.4325469871136275,0.87015625
XGBoost (Tabular Only),0.25,0.825,0.3596723973751068,0.87015625
XGBoost (Tabular Only),0.2625,0.825,0.2727603679645773,0.87015625
XGBoost (Tabular Only),0.2625,0.8375,0.2524391114711761,0.87015625
XGBoost (Tabular Only),0.325,0.8375,0.1245010732393848,0.87015625
XGBoost (Tabular Only),0.325,0.85,0.1211132901603263,0.87015625
XGBoost (Tabular Only),0.3625,0.85,0.0787741206181467,0.87015625
XGBoost (Tabular Only),0.3625,0.8625,0.0758040847737689,0.87015625
XGBoost (Tabular Only),0.3875,0.8625,0.0669856117417415,0.87015625
XGBoost (Tabular Only),0.3875,0.8875,0.0443679355084896,0.87015625
XGBoost (Tabular Only),0.4,0.8875,0.0416533946990966,0.87015625
XGBoost (Tabular Only),0.4,0.925,0.021029157564044,0.87015625
XGBoost (Tabular Only),0.45,0.925,0.0136211718145151,0.87015625
XGBoost (Tabular Only),0.45,0.9375,0.0125964852049946,0.87015625
XGBoost (Tabular Only),0.475,0.9375,0.0115731639202547,0.87015625
XGBoost (Tabular Only),0.475,0.95,0.0090524610184895,0.87015625
XGBoost (Tabular Only),0.5125,0.95,0.0064371611978911,0.87015625
XGBoost (Tabular Only),0.5125,0.9625,0.0054496005177497,0.87015625
XGBoost (Tabular Only),0.5875,0.9625,0.0022677378496155,0.87015625
XGBoost (Tabular Only),0.5875,0.975,0.0022583122800795,0.87015625
XGBoost (Tabular Only),0.75,0.975,0.0007927575198161,0.87015625
XGBoost (Tabular Only),0.75,0.9875,0.0007909479104758,0.87015625
XGBoost (Tabular Only),1.0,0.9875,0.0001694760285317,0.87015625
XGBoost (Tabular Only),1.0,1.0,0.0001680472773413,0.87015625
